"SamAccountName","UserPrincipalName","Status","Details","TargetOU","Groups","ExpectedGPOs","Permissions"
"victoria.allen","victoria.allen@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local|CN=Terminal Server License Servers,CN=Builtin,DC=mags,DC=local|CN=Users,CN=Builtin,DC=mags,DC=local","","Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage|Users are prevented from making accidental or intentional system-wide changes and can run most applications"
"grace.jones","grace.jones@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local|CN=Terminal Server License Servers,CN=Builtin,DC=mags,DC=local|CN=Users,CN=Builtin,DC=mags,DC=local","","Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage|Users are prevented from making accidental or intentional system-wide changes and can run most applications"
"claire.mitchell","claire.mitchell@mags.local","Created","Account enabled; password change required at first logon.","OU=Salg,DC=mags,DC=local","CN=GG-Salg,OU=Salg,DC=mags,DC=local|CN=Terminal Server License Servers,CN=Builtin,DC=mags,DC=local|CN=Users,CN=Builtin,DC=mags,DC=local","","Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage|Users are prevented from making accidental or intentional system-wide changes and can run most applications"
"william.evans","william.evans@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local|CN=Terminal Server License Servers,CN=Builtin,DC=mags,DC=local","","Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage"
"benjamin.wood","benjamin.wood@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local|CN=Terminal Server License Servers,CN=Builtin,DC=mags,DC=local","","Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage"
"charlotte.parker","charlotte.parker@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local|CN=Users,CN=Builtin,DC=mags,DC=local","","Users are prevented from making accidental or intentional system-wide changes and can run most applications"
"isabella.harris","isabella.harris@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local|CN=Terminal Server License Servers,CN=Builtin,DC=mags,DC=local|CN=Users,CN=Builtin,DC=mags,DC=local","","Users are prevented from making accidental or intentional system-wide changes and can run most applications|Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage"
"james.roberts","james.roberts@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local|CN=Terminal Server License Servers,CN=Builtin,DC=mags,DC=local","","Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage"
"grace.ward","grace.ward@mags.local","Created","Account enabled; password change required at first logon.","OU=Salg,DC=mags,DC=local","CN=GG-Salg,OU=Salg,DC=mags,DC=local","",""
"isabella.thompson","isabella.thompson@mags.local","Created","Account enabled; password change required at first logon.","OU=Salg,DC=mags,DC=local","CN=GG-Salg,OU=Salg,DC=mags,DC=local","",""
"lucy.king","lucy.king@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local|CN=Terminal Server License Servers,CN=Builtin,DC=mags,DC=local|CN=Users,CN=Builtin,DC=mags,DC=local","","Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage|Users are prevented from making accidental or intentional system-wide changes and can run most applications"
"daniel.ward","daniel.ward@mags.local","Created","Account enabled; password change required at first logon.","OU=Salg,DC=mags,DC=local","CN=GG-Salg,OU=Salg,DC=mags,DC=local|CN=Terminal Server License Servers,CN=Builtin,DC=mags,DC=local|CN=Users,CN=Builtin,DC=mags,DC=local","","Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage|Users are prevented from making accidental or intentional system-wide changes and can run most applications"
"hannah.scott","hannah.scott@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local|CN=Terminal Server License Servers,CN=Builtin,DC=mags,DC=local|CN=Users,CN=Builtin,DC=mags,DC=local","","Users are prevented from making accidental or intentional system-wide changes and can run most applications|Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage"
"james.williams","james.williams@mags.local","Created","Account enabled; password change required at first logon.","OU=Salg,DC=mags,DC=local","CN=GG-Salg,OU=Salg,DC=mags,DC=local","",""
"sarah.thompson","sarah.thompson@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local|CN=Terminal Server License Servers,CN=Builtin,DC=mags,DC=local","","Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage"
"lucy.brown","lucy.brown@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local|CN=Terminal Server License Servers,CN=Builtin,DC=mags,DC=local","","Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage"
"jack.hill","jack.hill@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local|CN=Terminal Server License Servers,CN=Builtin,DC=mags,DC=local|CN=Users,CN=Builtin,DC=mags,DC=local","","Users are prevented from making accidental or intentional system-wide changes and can run most applications|Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage"
"emily.turner","emily.turner@mags.local","Created","Account enabled; password change required at first logon.","OU=Salg,DC=mags,DC=local","CN=GG-Salg,OU=Salg,DC=mags,DC=local|CN=Terminal Server License Servers,CN=Builtin,DC=mags,DC=local|CN=Users,CN=Builtin,DC=mags,DC=local","","Users are prevented from making accidental or intentional system-wide changes and can run most applications|Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage"
"isabella.walker","isabella.walker@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local","",""
"andrew.wright","andrew.wright@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local|CN=Terminal Server License Servers,CN=Builtin,DC=mags,DC=local|CN=Users,CN=Builtin,DC=mags,DC=local","","Users are prevented from making accidental or intentional system-wide changes and can run most applications|Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage"
"sophia.clark","sophia.clark@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local|CN=Users,CN=Builtin,DC=mags,DC=local","","Users are prevented from making accidental or intentional system-wide changes and can run most applications"
"lily.campbell","lily.campbell@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local|CN=Terminal Server License Servers,CN=Builtin,DC=mags,DC=local","","Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage"
"jack.brown","jack.brown@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local|CN=Users,CN=Builtin,DC=mags,DC=local","","Users are prevented from making accidental or intentional system-wide changes and can run most applications"
"thomas.robinson","thomas.robinson@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local|CN=Terminal Server License Servers,CN=Builtin,DC=mags,DC=local|CN=Users,CN=Builtin,DC=mags,DC=local","","Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage|Users are prevented from making accidental or intentional system-wide changes and can run most applications"
"jack.parker","jack.parker@mags.local","Created","Account enabled; password change required at first logon.","OU=Salg,DC=mags,DC=local","CN=GG-Salg,OU=Salg,DC=mags,DC=local","",""
"alfred.taylor","alfred.taylor@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local|CN=Terminal Server License Servers,CN=Builtin,DC=mags,DC=local|CN=Users,CN=Builtin,DC=mags,DC=local","","Users are prevented from making accidental or intentional system-wide changes and can run most applications|Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage"
"emily.cooper","emily.cooper@mags.local","Created","Account enabled; password change required at first logon.","OU=Salg,DC=mags,DC=local","CN=GG-Salg,OU=Salg,DC=mags,DC=local","",""
"claire.walker","claire.walker@mags.local","Created","Account enabled; password change required at first logon.","OU=Salg,DC=mags,DC=local","CN=GG-Salg,OU=Salg,DC=mags,DC=local|CN=Terminal Server License Servers,CN=Builtin,DC=mags,DC=local|CN=Users,CN=Builtin,DC=mags,DC=local","","Users are prevented from making accidental or intentional system-wide changes and can run most applications|Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage"
"lily.wood","lily.wood@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local","",""
"matthew.evans","matthew.evans@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local","",""
"jack.jackson","jack.jackson@mags.local","Created","Account enabled; password change required at first logon.","OU=Salg,DC=mags,DC=local","CN=GG-Salg,OU=Salg,DC=mags,DC=local|CN=Terminal Server License Servers,CN=Builtin,DC=mags,DC=local","","Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage"
"william.davies","william.davies@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local|CN=Terminal Server License Servers,CN=Builtin,DC=mags,DC=local","","Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage"
"lucas.davies","lucas.davies@mags.local","Created","Account enabled; password change required at first logon.","OU=Salg,DC=mags,DC=local","CN=GG-Salg,OU=Salg,DC=mags,DC=local|CN=Terminal Server License Servers,CN=Builtin,DC=mags,DC=local|CN=Users,CN=Builtin,DC=mags,DC=local","","Users are prevented from making accidental or intentional system-wide changes and can run most applications|Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage"
"claire.harris","claire.harris@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local","",""
"chloe.scott","chloe.scott@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local|CN=Terminal Server License Servers,CN=Builtin,DC=mags,DC=local|CN=Users,CN=Builtin,DC=mags,DC=local","","Users are prevented from making accidental or intentional system-wide changes and can run most applications|Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage"
"matthew.mitchell","matthew.mitchell@mags.local","Created","Account enabled; password change required at first logon.","OU=Salg,DC=mags,DC=local","CN=GG-Salg,OU=Salg,DC=mags,DC=local","",""
"joseph.brown","joseph.brown@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local","",""
"noah.cooper","noah.cooper@mags.local","Created","Account enabled; password change required at first logon.","OU=Salg,DC=mags,DC=local","CN=GG-Salg,OU=Salg,DC=mags,DC=local","",""
"samuel.edwards","samuel.edwards@mags.local","Created","Account enabled; password change required at first logon.","OU=Salg,DC=mags,DC=local","CN=GG-Salg,OU=Salg,DC=mags,DC=local","",""
"thomas.jones","thomas.jones@mags.local","Created","Account enabled; password change required at first logon.","OU=Salg,DC=mags,DC=local","CN=GG-Salg,OU=Salg,DC=mags,DC=local|CN=Terminal Server License Servers,CN=Builtin,DC=mags,DC=local|CN=Users,CN=Builtin,DC=mags,DC=local","","Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage|Users are prevented from making accidental or intentional system-wide changes and can run most applications"
"ella.cooper","ella.cooper@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local|CN=Terminal Server License Servers,CN=Builtin,DC=mags,DC=local","","Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage"
"jessica.harris","jessica.harris@mags.local","Created","Account enabled; password change required at first logon.","OU=Salg,DC=mags,DC=local","CN=GG-Salg,OU=Salg,DC=mags,DC=local|CN=Terminal Server License Servers,CN=Builtin,DC=mags,DC=local|CN=Users,CN=Builtin,DC=mags,DC=local","","Users are prevented from making accidental or intentional system-wide changes and can run most applications|Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage"
"james.johnson","james.johnson@mags.local","Created","Account enabled; password change required at first logon.","OU=Salg,DC=mags,DC=local","CN=GG-Salg,OU=Salg,DC=mags,DC=local|CN=Terminal Server License Servers,CN=Builtin,DC=mags,DC=local|CN=Users,CN=Builtin,DC=mags,DC=local","","Users are prevented from making accidental or intentional system-wide changes and can run most applications|Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage"
"thomas.morris","thomas.morris@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local","",""
"michael.green","michael.green@mags.local","Created","Account enabled; password change required at first logon.","OU=Salg,DC=mags,DC=local","CN=GG-Salg,OU=Salg,DC=mags,DC=local","",""
"lucy.jones","lucy.jones@mags.local","Created","Account enabled; password change required at first logon.","OU=Salg,DC=mags,DC=local","CN=GG-Salg,OU=Salg,DC=mags,DC=local|CN=Terminal Server License Servers,CN=Builtin,DC=mags,DC=local|CN=Users,CN=Builtin,DC=mags,DC=local","","Users are prevented from making accidental or intentional system-wide changes and can run most applications|Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage"
"ethan.hall","ethan.hall@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local","",""
"sarah.wilson","sarah.wilson@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local|CN=Terminal Server License Servers,CN=Builtin,DC=mags,DC=local|CN=Users,CN=Builtin,DC=mags,DC=local","","Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage|Users are prevented from making accidental or intentional system-wide changes and can run most applications"
"emily.wright","emily.wright@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local|CN=Terminal Server License Servers,CN=Builtin,DC=mags,DC=local","","Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage"
"jack.turner","jack.turner@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local","",""
"george.smith","george.smith@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local|CN=Terminal Server License Servers,CN=Builtin,DC=mags,DC=local|CN=Users,CN=Builtin,DC=mags,DC=local","","Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage|Users are prevented from making accidental or intentional system-wide changes and can run most applications"
"emily.martin","emily.martin@mags.local","Created","Account enabled; password change required at first logon.","OU=Salg,DC=mags,DC=local","CN=GG-Salg,OU=Salg,DC=mags,DC=local|CN=Users,CN=Builtin,DC=mags,DC=local","","Users are prevented from making accidental or intentional system-wide changes and can run most applications"
"victoria.parker","victoria.parker@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local","",""
"samuel.cooper","samuel.cooper@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local|CN=Terminal Server License Servers,CN=Builtin,DC=mags,DC=local|CN=Users,CN=Builtin,DC=mags,DC=local","","Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage|Users are prevented from making accidental or intentional system-wide changes and can run most applications"
"chloe.parker","chloe.parker@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local","",""
"ruby.roberts","ruby.roberts@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local|CN=Users,CN=Builtin,DC=mags,DC=local","","Users are prevented from making accidental or intentional system-wide changes and can run most applications"
"ethan.clarke","ethan.clarke@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local|CN=Terminal Server License Servers,CN=Builtin,DC=mags,DC=local|CN=Users,CN=Builtin,DC=mags,DC=local","","Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage|Users are prevented from making accidental or intentional system-wide changes and can run most applications"
"olivia.green","olivia.green@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local","",""
"ruby.taylor","ruby.taylor@mags.local","Created","Account enabled; password change required at first logon.","OU=Salg,DC=mags,DC=local","CN=GG-Salg,OU=Salg,DC=mags,DC=local|CN=Terminal Server License Servers,CN=Builtin,DC=mags,DC=local|CN=Users,CN=Builtin,DC=mags,DC=local","","Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage|Users are prevented from making accidental or intentional system-wide changes and can run most applications"
"alfred.allen","alfred.allen@mags.local","Created","Account enabled; password change required at first logon.","OU=Salg,DC=mags,DC=local","CN=GG-Salg,OU=Salg,DC=mags,DC=local|CN=Terminal Server License Servers,CN=Builtin,DC=mags,DC=local|CN=Users,CN=Builtin,DC=mags,DC=local","","Users are prevented from making accidental or intentional system-wide changes and can run most applications|Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage"
"claire.hill","claire.hill@mags.local","Created","Account enabled; password change required at first logon.","OU=Salg,DC=mags,DC=local","CN=GG-Salg,OU=Salg,DC=mags,DC=local|CN=Users,CN=Builtin,DC=mags,DC=local","","Users are prevented from making accidental or intentional system-wide changes and can run most applications"
"jack.clark","jack.clark@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local|CN=Users,CN=Builtin,DC=mags,DC=local","","Users are prevented from making accidental or intentional system-wide changes and can run most applications"
"henry.wilson","henry.wilson@mags.local","Created","Account enabled; password change required at first logon.","OU=Salg,DC=mags,DC=local","CN=GG-Salg,OU=Salg,DC=mags,DC=local|CN=Terminal Server License Servers,CN=Builtin,DC=mags,DC=local","","Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage"
"joseph.ward","joseph.ward@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local|CN=Terminal Server License Servers,CN=Builtin,DC=mags,DC=local|CN=Users,CN=Builtin,DC=mags,DC=local","","Users are prevented from making accidental or intentional system-wide changes and can run most applications|Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage"
"ella.wood","ella.wood@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local|CN=Users,CN=Builtin,DC=mags,DC=local","","Users are prevented from making accidental or intentional system-wide changes and can run most applications"
"james.wilson","james.wilson@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local","",""
"andrew.roberts","andrew.roberts@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local|CN=Terminal Server License Servers,CN=Builtin,DC=mags,DC=local|CN=Users,CN=Builtin,DC=mags,DC=local","","Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage|Users are prevented from making accidental or intentional system-wide changes and can run most applications"
"ruby.davies","ruby.davies@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local|CN=Terminal Server License Servers,CN=Builtin,DC=mags,DC=local|CN=Users,CN=Builtin,DC=mags,DC=local","","Users are prevented from making accidental or intentional system-wide changes and can run most applications|Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage"
"isabella.roberts","isabella.roberts@mags.local","Created","Account enabled; password change required at first logon.","OU=Salg,DC=mags,DC=local","CN=GG-Salg,OU=Salg,DC=mags,DC=local","",""
"ella.ward","ella.ward@mags.local","Created","Account enabled; password change required at first logon.","OU=Salg,DC=mags,DC=local","CN=GG-Salg,OU=Salg,DC=mags,DC=local","",""
"grace.baker","grace.baker@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local|CN=Terminal Server License Servers,CN=Builtin,DC=mags,DC=local|CN=Users,CN=Builtin,DC=mags,DC=local","","Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage|Users are prevented from making accidental or intentional system-wide changes and can run most applications"
"sophia.morris","sophia.morris@mags.local","Created","Account enabled; password change required at first logon.","OU=Salg,DC=mags,DC=local","CN=GG-Salg,OU=Salg,DC=mags,DC=local|CN=Terminal Server License Servers,CN=Builtin,DC=mags,DC=local","","Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage"
"grace.walker","grace.walker@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local|CN=Terminal Server License Servers,CN=Builtin,DC=mags,DC=local|CN=Users,CN=Builtin,DC=mags,DC=local","","Users are prevented from making accidental or intentional system-wide changes and can run most applications|Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage"
"emma.robinson","emma.robinson@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local","",""
"ruby.white","ruby.white@mags.local","Created","Account enabled; password change required at first logon.","OU=Salg,DC=mags,DC=local","CN=GG-Salg,OU=Salg,DC=mags,DC=local|CN=Terminal Server License Servers,CN=Builtin,DC=mags,DC=local|CN=Users,CN=Builtin,DC=mags,DC=local","","Users are prevented from making accidental or intentional system-wide changes and can run most applications|Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage"
"alice.allen","alice.allen@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local|CN=Terminal Server License Servers,CN=Builtin,DC=mags,DC=local|CN=Users,CN=Builtin,DC=mags,DC=local","","Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage|Users are prevented from making accidental or intentional system-wide changes and can run most applications"
"jack.allen","jack.allen@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local","",""
"grace.wright","grace.wright@mags.local","Created","Account enabled; password change required at first logon.","OU=Salg,DC=mags,DC=local","CN=GG-Salg,OU=Salg,DC=mags,DC=local|CN=Terminal Server License Servers,CN=Builtin,DC=mags,DC=local|CN=Users,CN=Builtin,DC=mags,DC=local","","Users are prevented from making accidental or intentional system-wide changes and can run most applications|Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage"
"george.roberts","george.roberts@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local|CN=Terminal Server License Servers,CN=Builtin,DC=mags,DC=local|CN=Users,CN=Builtin,DC=mags,DC=local","","Users are prevented from making accidental or intentional system-wide changes and can run most applications|Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage"
"ella.allen","ella.allen@mags.local","Created","Account enabled; password change required at first logon.","OU=Salg,DC=mags,DC=local","CN=GG-Salg,OU=Salg,DC=mags,DC=local","",""
"emily.robinson","emily.robinson@mags.local","Created","Account enabled; password change required at first logon.","OU=Salg,DC=mags,DC=local","CN=GG-Salg,OU=Salg,DC=mags,DC=local","",""
"alfred.clark","alfred.clark@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local|CN=Terminal Server License Servers,CN=Builtin,DC=mags,DC=local","","Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage"
"sarah.wood","sarah.wood@mags.local","Created","Account enabled; password change required at first logon.","OU=Salg,DC=mags,DC=local","CN=GG-Salg,OU=Salg,DC=mags,DC=local|CN=Terminal Server License Servers,CN=Builtin,DC=mags,DC=local|CN=Users,CN=Builtin,DC=mags,DC=local","","Users are prevented from making accidental or intentional system-wide changes and can run most applications|Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage"
"isabella.ward","isabella.ward@mags.local","Created","Account enabled; password change required at first logon.","OU=Salg,DC=mags,DC=local","CN=GG-Salg,OU=Salg,DC=mags,DC=local","",""
"matthew.white","matthew.white@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local","",""
"emma.scott","emma.scott@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local|CN=Users,CN=Builtin,DC=mags,DC=local","","Users are prevented from making accidental or intentional system-wide changes and can run most applications"
"lucy.cooper","lucy.cooper@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local|CN=Terminal Server License Servers,CN=Builtin,DC=mags,DC=local|CN=Users,CN=Builtin,DC=mags,DC=local","","Users are prevented from making accidental or intentional system-wide changes and can run most applications|Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage"
"benjamin.jones","benjamin.jones@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local|CN=Users,CN=Builtin,DC=mags,DC=local","","Users are prevented from making accidental or intentional system-wide changes and can run most applications"
"isabella.king","isabella.king@mags.local","Created","Account enabled; password change required at first logon.","OU=Salg,DC=mags,DC=local","CN=GG-Salg,OU=Salg,DC=mags,DC=local","",""
